FUNDOS,SETOR,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,ÚLTIMO DIVIDENDO,DIVIDEND YIELD,DY (3M) ACUMULADO,DY (6M) ACUMULADO,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (6M) MÉDIA,DY (12M) MÉDIA,DY ANO,VARIAÇÃO PREÇO,RENTAB. PERÍODO,RENTAB. ACUMULADA,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,RENTAB. PATR. PERÍODO,RENTAB. PATR. ACUMULADA,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
HOSI11,IMÓVEIS RESIDENCIAIS,"87,99","164.816,53","0,96","1,20","1,33 %","2,94 %","4,94 %","11,57 %","0,98 %","0,82 %","0,96 %","11,57 %","10,28 %","11,75 %","74,71 %","52.759.078,81","92,00","0,96","1,31 %","-0,07 %","1,24 %","7,10 %",0,"45,12",1.561,N/A,N/A,N/A
HPDP11,SHOPPINGS,"87,99","814.117,20","0,90","0,53","0,60 %","1,22 %","3,14 %","7,07 %","0,41 %","0,52 %","0,59 %","7,07 %","2,38 %","3,00 %","33,95 %","314.496.064,47","95,65","0,92","0,55 %","7,16 %","7,75 %","7,51 %",1,"45,98",426,N/A,N/A,N/A
HRDF11,FUNDO DE DESENVOLVIMENTO,"3,41","395,33","0,47","5,40",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"12.118.823,02",N/A,N/A,N/A,N/A,N/A,N/A,0,"385,84",1.146,N/A,N/A,N/A
HREC11,PAPÉIS,"8,75","143.859,22","0,94","0,09","0,95 %","2,98 %","5,98 %","12,77 %","0,99 %","1,00 %","1,06 %","12,77 %","7,29 %","8,31 %","25,26 %","479.752.489,19","9,30","0,94","0,91 %","-89,54 %","-89,44 %","-88,38 %",0,"14,53",2.022,N/A,N/A,N/A
HSAF11,PAPÉIS,"86,58","465.878,31","0,93","0,75","0,87 %","2,78 %","5,37 %","12,79 %","0,93 %","0,90 %","1,07 %","12,79 %","2,00 %","2,89 %","24,63 %","235.146.680,20","93,08","0,93","0,81 %","1,91 %","2,73 %","12,06 %",0,"14,79",10.740,N/A,N/A,N/A
HSLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"97,22","840.391,17","0,94","0,74","0,75 %","2,37 %","4,67 %","9,86 %","0,79 %","0,78 %","0,82 %","9,86 %","8,30 %","9,11 %","22,23 %","1.310.225.791,52","103,49","0,94","0,72 %","-1,38 %","-0,68 %","0,71 %",5,"17,20",36.510,N/A,N/A,N/A
HSML11,SHOPPINGS,"95,41","3.308.629,75","1,01","0,76","0,79 %","2,39 %","4,73 %","9,98 %","0,80 %","0,79 %","0,83 %","9,98 %","3,48 %","4,29 %","30,57 %","1.498.265.450,61","94,94","1,00","0,80 %","-2,71 %","-1,93 %","3,20 %",7,"11,02",168.087,N/A,N/A,N/A
HSRE11,MISTO,"105,99","3.710.726,06","1,13","0,60","0,57 %","1,67 %","2,83 %","5,28 %","0,56 %","0,47 %","0,44 %","5,28 %","-0,24 %","0,32 %","-0,04 %","833.014.127,57","93,61","1,13","0,64 %","-2,53 %","-1,91 %","4,33 %",28,"26,00",241,N/A,N/A,N/A
HTMX11,HOTÉIS,"182,49","2.255.583,64","1,19","3,25","1,64 %","6,06 %","10,90 %","17,55 %","2,02 %","1,82 %","1,46 %","17,55 %","11,86 %","13,70 %","111,24 %","228.667.211,92","153,25","1,19","2,12 %","9,19 %","11,51 %","29,03 %",22,"34,25",32.447,N/A,N/A,N/A
HUCG11,HOSPITALAR,"94,78","5.604,52","0,89","0,22","0,20 %","0,40 %","0,83 %","2,95 %","0,13 %","0,14 %","0,25 %","2,95 %","8,00 %","8,22 %","-7,51 %","116.450.653,86",N/A,N/A,N/A,N/A,N/A,N/A,2,"81,99",226,N/A,N/A,N/A
HUSC11,HOSPITALAR,"114,99","5.885,33","0,74","0,95","0,00 %","1,60 %","4,11 %","8,33 %","0,53 %","0,69 %","0,69 %","8,33 %","0,00 %","0,00 %",N/A,"128.956.704,56","155,95","0,74","0,61 %","6,27 %","6,92 %","15,67 %",2,"42,00",778,N/A,N/A,N/A
HUSI11,HOSPITALAR,"1.080,00","4.776,00","0,91","8,35","0,70 %","0,70 %","0,70 %","1,38 %","0,23 %","0,12 %","0,12 %","2,03 %","0,00 %","0,00 %",N/A,"138.033.247,70","1.186,24","0,91","0,70 %","19,44 %","20,28 %","26,52 %",0,"253,16",89,N/A,N/A,N/A
IAAG11,INDEFINIDO,"8,98","26.925,28","0,94","0,08","0,89 %","2,73 %","4,84 %","4,84 %","0,91 %","0,97 %","0,97 %","4,84 %","-7,73 %","-6,91 %","-7,20 %","52.767.561,15","9,68","0,93","0,83 %","0,00 %","0,00 %","0,00 %",0,"10,43",1.563,N/A,N/A,N/A
IAGR11,INDEFINIDO,"4,86","66.066,06","0,51","0,05","1,09 %","1,09 %","1,09 %","1,09 %","1,09 %","1,09 %","1,09 %","1,09 %","0,00 %","0,00 %",N/A,"27.100.886,15","9,73","0,50","0,46 %","0,00 %","0,00 %","0,00 %",0,"104,78",2.960,N/A,N/A,N/A
IBCR11,PAPÉIS,"81,11","189.901,25","0,85","1,00","1,21 %","3,73 %","7,52 %","14,56 %","1,24 %","1,25 %","1,21 %","14,56 %","5,67 %","6,95 %","12,62 %","91.972.081,38","95,96","0,85","1,04 %","2,17 %","3,24 %","11,97 %",0,"15,92",4.055,N/A,N/A,N/A
IBFF11,FUNDO DE FUNDOS,"66,40","162.549,50","4,49","14,79","0,00 %","0,44 %","2,85 %","8,02 %","0,15 %","0,48 %","0,67 %","5,41 %","0,00 %","0,00 %",N/A,"9.855.905,16","14,78","4,49","100,08 %","-79,09 %","-58,15 %","-58,47 %",0,"4,20",3.870,N/A,N/A,N/A
ICNE11,IMÓVEIS RESIDENCIAIS,N/A,N/A,N/A,"1,79",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"119.859.950,99",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,5,N/A,N/A,N/A
IDFI11,INDEFINIDO,"20,76","7.856,81","0,74","1,54",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"59.304.723,28","28,82","0,72","5,34 %","-48,50 %","-45,75 %","-55,75 %",2,"49,78",387,N/A,N/A,N/A
IDGR11,MISTO,"15,00","574,87","1,41","1,30",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"9.377.705,50",N/A,N/A,N/A,N/A,N/A,N/A,1,"122,13",72,N/A,N/A,N/A
IFRA11,FUNDO DE DESENVOLVIMENTO,"111,73","1.378.296,06",N/A,"1,10","1,00 %","3,08 %","6,16 %","11,83 %","1,03 %","1,03 %","0,99 %","11,83 %","4,88 %","5,93 %","23,19 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"9,66",0,N/A,N/A,N/A
IRDM11,PAPÉIS,"77,69","4.634.582,67","0,89","0,70","0,86 %","2,78 %","5,60 %","11,86 %","0,93 %","0,93 %","0,99 %","11,86 %","7,76 %","8,68 %","-1,49 %","3.183.351.109,54","87,37","0,89","0,80 %","-5,85 %","-5,10 %","-1,29 %",0,"15,86",294.535,N/A,N/A,N/A
IRIM11,INDEFINIDO,"82,32","47.561,47","0,90","0,74","0,87 %","3,05 %","5,82 %","12,63 %","1,02 %","0,97 %","1,05 %","12,63 %","5,09 %","6,00 %","2,38 %","175.249.718,23","91,28","0,90","0,81 %","-6,21 %","-5,45 %","-1,85 %",0,"15,55",2.688,N/A,N/A,N/A
ISCJ11,PAPÉIS,N/A,N/A,N/A,"1,20",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"42.089.673,74",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,39,N/A,N/A,N/A
ITIP11,PAPÉIS,"76,24","84.578,86","1,00","0,65","0,85 %","2,58 %","5,38 %","12,12 %","0,86 %","0,90 %","1,01 %","12,12 %","-1,59 %","-0,75 %","8,26 %","57.399.134,73","76,72","0,99","0,85 %","-4,21 %","-3,40 %","-1,09 %",0,"12,13",4.946,N/A,N/A,N/A
ITIT11,FUNDO DE FUNDOS,"78,42","293.087,19","0,90","0,64","0,84 %","2,50 %","4,78 %","9,51 %","0,83 %","0,80 %","0,79 %","9,51 %","2,41 %","3,27 %","5,06 %","78.476.065,62","87,15","0,90","0,73 %","10,37 %","11,18 %","18,64 %",0,"10,76",10.129,N/A,N/A,N/A
JASC11,IMÓVEIS COMERCIAIS - OUTROS,"103,00","999.926,00","0,96","0,54","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"356.935.255,60",N/A,N/A,N/A,N/A,N/A,N/A,13,"15,51",79,N/A,N/A,N/A
JBFO11,PAPÉIS,"87,00","87,00","1,04","0,62","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"107.481.871,01",N/A,N/A,N/A,N/A,N/A,N/A,0,"38,50",364,N/A,N/A,N/A
JCCJ11,PAPÉIS,"124,50","4.413.712,00","0,69","0,10","0,08 %","0,20 %","0,58 %","0,58 %","0,07 %","0,15 %","0,15 %","0,58 %","0,00 %","0,00 %",N/A,"289.750.244,21",N/A,N/A,N/A,N/A,N/A,N/A,0,"22,52",155,N/A,N/A,N/A
JFLL11,IMÓVEIS RESIDENCIAIS,"75,00","46.166,89","0,72","0,62","0,83 %","2,52 %","5,01 %","10,87 %","0,84 %","0,84 %","0,91 %","10,87 %","-1,52 %","-0,71 %","25,98 %","156.421.539,84","104,24","0,72","0,59 %","3,23 %","3,84 %","12,84 %",2,"23,37",3.668,N/A,N/A,N/A
JGPX11,INDEFINIDO,"91,87","387.743,28","0,96","0,95","1,03 %","3,03 %","6,49 %","14,39 %","1,01 %","1,08 %","1,20 %","14,39 %","-4,91 %","-3,93 %","9,69 %","204.635.960,19","95,57","0,96","0,99 %","-0,42 %","0,57 %","11,52 %",0,"15,83",7.463,N/A,N/A,N/A
JPPA11,PAPÉIS,"93,00","224.239,94","0,95","1,04","1,10 %","3,33 %","6,80 %","15,10 %","1,11 %","1,13 %","1,26 %","15,10 %","2,72 %","3,85 %","4,11 %","89.112.139,24","98,57","0,94","1,06 %","0,25 %","1,31 %","14,02 %",0,"13,09",8.961,N/A,N/A,N/A
JRDM11,SHOPPINGS,"85,90","610.682,00","0,97","7,83",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"224.143.181,16","88,84","0,97","0,45 %","-1,16 %","-0,71 %","7,23 %",1,"18,71",4.001,N/A,N/A,N/A
JSAF11,FUNDO DE FUNDOS,"102,17","1.042.899,17","1,03","1,00","0,99 %","2,94 %","5,84 %","12,48 %","0,98 %","0,97 %","1,04 %","12,48 %","-1,13 %","-0,15 %","35,80 %","158.152.048,30","100,54","1,02","0,99 %","7,03 %","8,09 %","16,69 %",0,"18,31",13.831,N/A,N/A,N/A
JSRE11,MISTO,"75,30","2.493.052,19","0,70","0,46","0,61 %","1,90 %","3,67 %","7,74 %","0,63 %","0,61 %","0,65 %","7,74 %","2,08 %","2,70 %","11,07 %","2.275.871.103,33","109,59","0,69","0,42 %","-2,99 %","-2,58 %","1,68 %",6,"19,60",104.781,N/A,N/A,N/A
JURO11,FUNDO DE DESENVOLVIMENTO,"107,35","3.054.956,86",N/A,"1,50","1,36 %","4,17 %","8,59 %","13,66 %","1,39 %","1,43 %","1,14 %","12,48 %","1,89 %","3,28 %","17,58 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"10,68",0,N/A,N/A,N/A
KCRE11,INDEFINIDO,"99,13","634.342,67","0,96","0,81","0,83 %","2,63 %","4,96 %","12,34 %","0,88 %","0,83 %","1,03 %","12,34 %","3,51 %","4,37 %","25,28 %","372.503.556,80","103,47","0,96","0,78 %","5,67 %","6,50 %","7,69 %",0,"12,59",10.591,N/A,N/A,N/A
KDIF11,FUNDO DE DESENVOLVIMENTO,"137,29","2.126.010,53",N/A,"1,10","0,79 %","2,28 %","4,52 %","10,00 %","0,76 %","0,75 %","0,83 %","10,00 %","3,49 %","4,30 %","21,57 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"12,75",0,N/A,N/A,N/A
KEVE11,FUNDO DE DESENVOLVIMENTO,"1.142,03","137.514,20","1,34","71,77",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"127.347.008,09","862,19","1,32","8,32 %","-7,51 %","0,19 %","-3,67 %",0,"32,53",483,N/A,N/A,N/A
KFOF11,FUNDO DE FUNDOS,"100,14","972.691,92","1,01","1,03","1,05 %","2,73 %","5,09 %","10,78 %","0,91 %","0,85 %","0,90 %","10,78 %","3,93 %","5,02 %","38,94 %","444.309.562,27","98,01","1,02","1,05 %","7,86 %","8,99 %","15,06 %",0,"20,15",19.792,N/A,N/A,N/A
KINP11,FUNDO DE DESENVOLVIMENTO,"9,82","38.394,20","2,66","2,90","0,00 %","4,91 %","14,60 %","31,63 %","1,64 %","2,43 %","2,64 %","12,53 %","0,00 %","0,00 %",N/A,"26.408.606,84","3,69","2,66","78,46 %","-16,14 %","49,66 %","52,28 %",0,"62,26",1.932,N/A,N/A,N/A
KISU11,FUNDO DE FUNDOS,"8,42","1.008.941,00","0,93","0,08","0,92 %","2,73 %","5,18 %","10,65 %","0,91 %","0,86 %","0,89 %","10,65 %","4,97 %","5,94 %","18,87 %","399.905.434,28","9,05","0,93","0,88 %","3,78 %","4,70 %","7,12 %",0,"12,67",132.161,N/A,N/A,N/A
KIVO11,PAPÉIS,"95,00","415.672,44","1,04","1,25","1,38 %","4,09 %","7,68 %","17,37 %","1,36 %","1,28 %","1,45 %","17,37 %","1,68 %","3,08 %","11,06 %","111.128.010,71",N/A,N/A,N/A,N/A,N/A,N/A,0,"21,90",4.590,N/A,N/A,N/A
KNCA11,INDEFINIDO,"105,00","3.027.736,11","1,02","1,05","0,99 %","2,98 %","6,18 %","13,27 %","0,99 %","1,03 %","1,11 %","13,27 %","1,20 %","2,20 %","12,84 %","2.232.898.415,00","103,38","1,02","1,02 %","1,17 %","2,20 %","13,72 %",0,"10,26",59.022,N/A,N/A,N/A
KNCR11,PAPÉIS,"102,98","9.473.617,83","1,02","1,01","0,97 %","3,04 %","6,49 %","13,47 %","1,01 %","1,08 %","1,12 %","13,47 %","2,50 %","3,50 %","20,89 %","5.759.451.784,13","100,87","1,02","1,00 %","0,12 %","1,12 %","14,46 %",0,"8,28",310.216,N/A,N/A,N/A
KNHF11,INDEFINIDO,"104,06","1.113.131,97","1,02","1,00","0,94 %","2,98 %","4,73 %","4,73 %","0,99 %","1,18 %","1,18 %","4,73 %","3,69 %","4,67 %","6,44 %","1.405.125.036,32",N/A,N/A,N/A,N/A,N/A,N/A,0,"9,82",13.087,N/A,N/A,N/A
KNHY11,PAPÉIS,"105,40","3.085.697,75","1,02","1,05","1,02 %","3,04 %","5,65 %","12,96 %","1,01 %","0,94 %","1,08 %","12,96 %","1,77 %","2,81 %","20,14 %","1.910.593.607,15","103,33","1,02","1,02 %","5,71 %","6,78 %","20,62 %",0,"9,06",16.026,N/A,N/A,N/A
KNIP11,PAPÉIS,"96,55","11.083.538,36","0,97","0,75","0,78 %","2,30 %","4,04 %","10,28 %","0,77 %","0,67 %","0,86 %","10,28 %","3,90 %","4,71 %","15,14 %","7.937.902.259,41","99,13","0,97","0,76 %","5,61 %","6,41 %","16,16 %",0,"8,80",75.213,N/A,N/A,N/A
KNOX11,N/A,"101,57","438.696,09",N/A,"2,44","2,31 %","7,49 %","12,66 %","19,17 %","2,50 %","2,11 %","2,40 %","7,49 %","5,62 %","8,06 %","15,17 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"17,01",0,N/A,N/A,N/A
KNPR11,INDEFINIDO,N/A,N/A,N/A,"4,65","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"58.689.268,00",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,593,N/A,N/A,N/A
KNRE11,FUNDO DE DESENVOLVIMENTO,"0,38","13.367,17","0,51","0,07","12,52 %","82,61 %","138,46 %","178,41 %","27,54 %","23,08 %","14,87 %","138,46 %","-44,00 %","-36,99 %","6,59 %","14.108.187,28","0,76","0,50","9,22 %","-8,43 %","0,01 %","-8,02 %",1,"72,01",6.839,N/A,N/A,N/A
KNRI11,MISTO,"164,31","3.722.077,28","1,03","1,00","0,60 %","1,86 %","3,65 %","7,90 %","0,62 %","0,61 %","0,66 %","7,90 %","3,76 %","4,38 %","27,72 %","3.836.940.532,72","158,83","1,03","0,63 %","-0,63 %","-0,01 %","8,34 %",19,"12,63",264.450,N/A,N/A,N/A
KNSC11,PAPÉIS,"9,12","2.912.598,92","1,00","0,07","0,77 %","2,47 %","4,96 %","11,52 %","0,82 %","0,83 %","0,96 %","11,52 %","3,16 %","3,96 %","18,51 %","1.208.347.949,89","9,10","1,00","0,77 %","-89,67 %","-89,59 %","-88,50 %",0,"11,45",132.602,N/A,N/A,N/A
KNUQ11,INDEFINIDO,"104,12","517.428,89","1,04","1,14","1,11 %","3,09 %","3,09 %","3,09 %","1,03 %","0,52 %","0,52 %","3,09 %","0,58 %","1,69 %","2,29 %","745.144.515,41",N/A,N/A,N/A,N/A,N/A,N/A,0,"7,52",7.760,N/A,N/A,N/A
KORE11,LAJES CORPORATIVAS,"110,50","1.355.091,97","1,11","0,69","0,64 %","0,64 %","0,64 %","0,64 %","0,64 %","0,64 %","0,64 %","0,64 %","0,00 %","0,00 %",N/A,"961.854.941,79",N/A,N/A,N/A,N/A,N/A,N/A,0,"12,65",14.731,N/A,N/A,N/A
LASC11,SHOPPINGS,"105,19","1.034.195,50","0,81","0,67","0,63 %","1,64 %","3,37 %","9,65 %","0,55 %","0,56 %","0,80 %","9,65 %","1,44 %","2,07 %","12,96 %","375.328.890,99","127,65","0,82","0,52 %","19,34 %","19,97 %","20,48 %",3,"18,05",390,N/A,N/A,N/A
LAVF11,INDEFINIDO,N/A,N/A,N/A,"1,30","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"116.243,80",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,7,N/A,N/A,N/A
LFTT11,PAPÉIS,"31,39","16.168,34","1,66","1,02",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"134.091.203,33","18,11","1,73","5,64 %","-54,77 %","-52,22 %","-83,16 %",260,"42,30",504,N/A,N/A,N/A
LGCP11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"90,07","622.951,06","0,87","0,72","0,80 %","2,43 %","4,64 %","9,37 %","0,81 %","0,77 %","0,78 %","9,37 %","2,86 %","3,68 %","19,46 %","367.787.688,94","102,39","0,88","0,70 %","-0,39 %","0,31 %","8,52 %",5,"14,11",15.633,N/A,N/A,N/A
LIFE11,IMÓVEIS COMERCIAIS - OUTROS,"10,10","228.957,81","1,00","0,13","1,23 %","3,73 %","7,26 %","15,70 %","1,24 %","1,21 %","1,31 %","15,70 %","3,04 %","4,30 %","10,17 %","226.043.427,01",N/A,N/A,N/A,N/A,N/A,N/A,0,"18,83",6.130,N/A,N/A,N/A
LLAO11,MISTO,"77,37","551.253,00","1,05","1,39",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"26.698.166,06",N/A,N/A,N/A,N/A,N/A,N/A,16,"185,46",77,N/A,N/A,N/A
LOFT11B,FUNDO DE DESENVOLVIMENTO,"29,90",N/A,"2,98","47,90","0,00 %","0,00 %","142,24 %","189,83 %","0,00 %","23,71 %","15,82 %","92,37 %","0,00 %","0,00 %",N/A,"19.663.388,29",N/A,N/A,N/A,N/A,N/A,N/A,18,N/A,1,N/A,N/A,N/A
LPLP11,INDEFINIDO,"508,68","1.017,00","1,28","48,32",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"144.781.405,25",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,5,N/A,N/A,N/A
LSAG11,MISTO,"100,10","120.489,44",N/A,"1,80","1,84 %","4,25 %","7,89 %","16,77 %","1,42 %","1,32 %","1,40 %","16,77 %","-3,92 %","-2,15 %","1,64 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"16,44",0,N/A,N/A,N/A
LSPA11,PAPÉIS,"108,00","73.497,00","0,94","4,43","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"46.265.530,51",N/A,N/A,N/A,N/A,N/A,N/A,0,"18,09",224,N/A,N/A,N/A
LUGG11,FUNDO DE DESENVOLVIMENTO,"82,24","51.438,31","0,67","0,50","0,60 %","1,78 %","3,85 %","8,59 %","0,59 %","0,64 %","0,72 %","8,59 %","-1,46 %","-0,87 %","23,28 %","139.711.181,55","123,56","0,67","0,40 %","-3,30 %","-2,91 %","4,60 %",5,"14,67",6.564,N/A,N/A,N/A
LVBI11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"119,28","4.652.073,44","1,03","0,90","0,76 %","2,29 %","4,31 %","8,75 %","0,76 %","0,72 %","0,73 %","8,75 %","3,81 %","4,60 %","24,83 %","1.644.298.546,39","115,45","1,03","0,78 %","-0,04 %","0,74 %","5,91 %",11,"16,27",97.478,N/A,N/A,N/A
MALL11,SHOPPINGS,"118,50","1.874.071,61","0,98","0,80","0,67 %","2,09 %","4,22 %","8,70 %","0,70 %","0,70 %","0,73 %","8,70 %","1,77 %","2,46 %","25,18 %","1.104.137.381,27","121,01","0,98","0,66 %","0,92 %","1,58 %","18,18 %",9,"9,92",132.172,N/A,N/A,N/A
MANA11,INDEFINIDO,"9,41","239.668,69","0,96","0,11","1,16 %","3,21 %","6,41 %","13,20 %","1,07 %","1,07 %","1,10 %","13,20 %","-1,86 %","-0,72 %","7,25 %","208.942.757,51",N/A,N/A,N/A,N/A,N/A,N/A,0,"26,34",5.183,N/A,N/A,N/A
MATV11,INDEFINIDO,"86,63","13.027,43","0,92","0,60","0,73 %","3,11 %","4,87 %","12,28 %","1,04 %","0,81 %","1,02 %","1,93 %","-1,41 %","-0,69 %","-1,08 %","39.926.993,67","91,36","0,95","0,66 %","-1,59 %","-0,95 %","0,12 %",0,"33,06",325,N/A,N/A,N/A
MAXR11,VAREJO,"77,57","232.115,14","0,60","0,78","0,99 %","3,04 %","5,94 %","11,68 %","1,01 %","0,99 %","0,97 %","11,68 %","5,16 %","6,20 %","24,41 %","144.207.895,72","128,11","0,61","0,61 %","4,09 %","4,72 %","12,46 %",8,"21,96",4.482,N/A,N/A,N/A
MBRF11,LAJES CORPORATIVAS,N/A,N/A,N/A,"0,50","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,"1.136,01",N/A,"0,88 %","-0,17 %","0,71 %","10,03 %",0,N/A,0,N/A,N/A,N/A
MCCI11,PAPÉIS,"94,61","3.515.047,22","0,99","0,90","0,94 %","2,89 %","5,74 %","12,15 %","0,96 %","0,96 %","1,01 %","12,15 %","3,56 %","4,53 %","16,14 %","1.619.348.816,44","95,48","0,99","0,94 %","3,22 %","4,19 %","9,03 %",0,"17,90",116.108,N/A,N/A,N/A
MCHF11,PAPÉIS,"9,03","1.412.635,47","0,95","0,07","0,74 %","2,59 %","5,50 %","12,26 %","0,86 %","0,92 %","1,02 %","12,26 %","12,17 %","13,00 %","15,43 %","308.960.498,52","9,55","0,95","0,73 %","0,42 %","1,16 %","3,96 %",0,"19,40",84.361,N/A,N/A,N/A
MCHY11,PAPÉIS,"11,60","31.030,11","0,12","0,13","1,07 %","3,39 %","6,90 %","14,45 %","1,13 %","1,15 %","1,20 %","14,45 %","9,03 %","10,19 %","27,23 %","355.209.675,53","98,54","0,12","0,13 %","-1,80 %","-1,67 %","9,42 %",0,"22,82",1.118,N/A,N/A,N/A
MFAI11,FUNDO DE FUNDOS,"63,02","22.881,11","0,87","0,55","0,89 %","2,41 %","4,82 %","9,67 %","0,80 %","0,80 %","0,81 %","9,67 %","2,08 %","2,98 %","17,62 %","28.212.610,30","72,49","0,87","0,76 %","6,35 %","7,16 %","-1,97 %",0,"21,60",2.816,N/A,N/A,N/A
MFII11,FUNDO DE DESENVOLVIMENTO,"101,00","531.270,06","0,89","1,08","1,14 %","3,47 %","6,85 %","13,92 %","1,16 %","1,14 %","1,16 %","13,92 %","3,30 %","4,47 %","15,92 %","501.857.043,22","113,37","0,89","0,95 %","7,23 %","8,25 %","19,68 %",8,"11,41",30.433,N/A,N/A,N/A
MGCR11,PAPÉIS,"9,40","259.145,59","0,96","0,33","0,00 %","1,18 %","4,72 %","11,50 %","0,39 %","0,79 %","0,96 %","6,90 %","0,00 %","0,00 %",N/A,"131.240.792,97","9,78","0,96","1,02 %","-89,08 %","-88,97 %","-88,55 %",0,"13,11",4.360,N/A,N/A,N/A
MGFF11,FUNDO DE FUNDOS,"69,99","2.558.695,75","0,95","0,52","0,75 %","2,33 %","4,69 %","10,14 %","0,78 %","0,78 %","0,85 %","9,27 %","6,91 %","7,71 %","29,95 %","665.588.549,57","74,01","0,95","0,70 %","3,22 %","3,95 %","0,54 %",0,"13,51",45.134,N/A,N/A,N/A
MGHT11,HOTÉIS,"46,92","138.336,39","0,55","0,57","1,18 %","3,50 %","6,19 %","14,02 %","1,17 %","1,03 %","1,17 %","14,02 %","5,28 %","6,52 %","-2,57 %","112.482.906,27","85,62","0,55","0,67 %","0,05 %","0,71 %","-4,73 %",1,"26,60",4.784,N/A,N/A,N/A
MGLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"40,99","55.314,19","0,55","0,35","0,86 %","2,58 %","4,56 %","11,69 %","0,86 %","0,76 %","0,97 %","0,86 %","-3,60 %","-2,77 %","-2,77 %","116.088.485,68","61,55","0,67","0,57 %","57,54 %","58,43 %","-18,62 %",2,"27,79",3.712,N/A,N/A,N/A
MGRI11,INDEFINIDO,N/A,N/A,N/A,"1,00","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"24.259.177,29",N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,1,N/A,N/A,N/A
MINT11,EDUCACIONAL,"104,98","10.076,10","0,81","1,30","1,30 %","1,30 %","1,30 %","1,30 %","1,30 %","1,30 %","1,30 %","1,30 %","0,00 %","0,00 %",N/A,"67.625.256,47",N/A,N/A,N/A,N/A,N/A,N/A,3,"47,62",79,N/A,N/A,N/A
MMPD11,INDEFINIDO,N/A,N/A,N/A,"1,07","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"59.222.767,21",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,55,N/A,N/A,N/A
MORC11,PAPÉIS,"89,75","1.164.300,00","0,88","0,92","1,03 %","3,21 %","6,89 %","14,10 %","1,07 %","1,15 %","1,18 %","14,10 %","4,69 %","5,77 %","6,84 %","191.339.013,53","100,29","0,89","0,92 %","2,74 %","3,68 %","9,02 %",0,"11,39",2.960,N/A,N/A,N/A
