FUNDOS,SETOR,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,ÚLTIMO DIVIDENDO,DIVIDEND YIELD,DY (3M) ACUMULADO,DY (6M) ACUMULADO,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (6M) MÉDIA,DY (12M) MÉDIA,DY ANO,VARIAÇÃO PREÇO,RENTAB. PERÍODO,RENTAB. ACUMULADA,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,RENTAB. PATR. PERÍODO,RENTAB. PATR. ACUMULADA,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
FIIB11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"522,51","227.307,08","1,11","3,65","0,70 %","2,14 %","4,30 %","8,50 %","0,71 %","0,72 %","0,71 %","8,50 %","1,94 %","2,65 %","20,95 %","323.560.769,09","472,35","1,11","0,77 %","2,35 %","3,14 %","13,42 %",9,"15,17",16.505,N/A,N/A,N/A
FIIP11B,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"179,00","65.943,86","0,88","1,44","0,83 %","2,50 %","4,96 %","10,45 %","0,83 %","0,83 %","0,87 %","10,45 %","1,46 %","2,30 %","31,08 %","188.690.525,43","203,51","0,88","0,71 %","9,31 %","10,09 %","11,01 %",7,"21,77",7.552,N/A,N/A,N/A
FISC11,LAJES CORPORATIVAS,"65,00","4.736,30","0,54","0,29","0,45 %","1,03 %","1,03 %","1,03 %","0,34 %","0,17 %","0,09 %","1,03 %","-1,54 %","-1,10 %","-1,10 %","204.374.810,55","120,22","0,54","0,24 %","4,48 %","4,74 %","5,26 %",5,"145,64",110,N/A,N/A,N/A
FLCR11,PAPÉIS,"98,53","47.884,75","1,00","1,13","1,15 %","3,30 %","6,25 %","13,98 %","1,10 %","1,04 %","1,17 %","13,98 %","0,67 %","1,82 %","17,42 %","62.438.523,24","99,67","0,99","1,13 %","1,27 %","2,42 %","12,63 %",0,"9,43",2.724,N/A,N/A,N/A
FLMA11,LAJES CORPORATIVAS,"140,68","108.176,11","0,65","0,99","0,70 %","2,12 %","4,15 %","8,26 %","0,71 %","0,69 %","0,69 %","8,26 %","2,51 %","3,23 %","19,38 %","299.102.183,65","216,64","0,65","0,46 %","35,19 %","35,81 %","48,22 %",2,"14,85",14.793,N/A,N/A,N/A
FLRP11,SHOPPINGS,"2.119,69","161.341,73","0,92","13,50","0,68 %","1,37 %","3,40 %","7,37 %","0,46 %","0,57 %","0,61 %","7,37 %","1,57 %","2,26 %","22,66 %","150.815.070,01","2.311,98","0,92","0,58 %","26,57 %","27,31 %","42,15 %",1,"49,25",798,N/A,N/A,N/A
FMOF11,LAJES CORPORATIVAS,"59,00","901,75","0,51","0,46","0,00 %","0,53 %","1,47 %","3,91 %","0,18 %","0,25 %","0,33 %","0,00 %","0,00 %","0,00 %",N/A,"59.337.504,93","116,80","0,51","0,39 %","-1,51 %","-1,12 %","-4,21 %",2,"50,05",261,N/A,N/A,N/A
FPAB11,LAJES CORPORATIVAS,"190,00","11.652,46","0,57","0,90","0,45 %","1,72 %","5,64 %","11,17 %","0,57 %","0,94 %","0,93 %","11,17 %","-1,38 %","-0,93 %","63,14 %","255.064.298,29","340,09","0,56","0,26 %","-9,31 %","-9,07 %","-12,77 %",2,"48,23",914,N/A,N/A,N/A
FRHY11,INDEFINIDO,N/A,N/A,N/A,"1,03","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"5.391.293,46",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,7,N/A,N/A,N/A
FVPQ11,SHOPPINGS,"103,03","122.154,97","0,54","0,45","0,39 %","1,93 %","4,85 %","10,95 %","0,64 %","0,81 %","0,91 %","10,95 %","-0,21 %","0,18 %","26,48 %","538.246.777,78","192,22","0,54","0,23 %","-0,03 %","0,21 %","1,87 %",1,"19,59",3.982,N/A,N/A,N/A
